State,Long,"Place
Name","Zip
Code",County,Lat,
HI,-155.7258,Ocean View,96737,Hawaii,19.1002,
OR,-123.965,Oceanside,97134,Tillamook,45.4549,
MO,-89.5459,Cape Girardeau,63701,Cape Girardeau,37.3169,
NM,-104.7299,Hope,88250,Eddy,32.8156,
MO,-94.6352,Edgerton,64444,Platte,39.4742,
PA,-79.9754,La Belle,15450,Fayette,39.9983,
CA,-121.4944,Sacramento,94278,Sacramento,38.5816,
OR,-119.2116,Stanfield,97875,Umatilla,45.786,
NE,-95.9404,Offutt Afb,68113,Sarpy,41.2563,
IL,-89.7952,Hanna City,61536,Peoria,40.6798,
HI,-157.8633,Honolulu,96837,Honolulu,21.315,
CA,-120.7107,Templeton,93465,San Luis Obispo,35.5551,
CA,-117.7858,Anaheim,92807,Orange,33.8544,
SC,-80.9804,Ridgeland,29936,Jasper,32.4807,
OH,-83.3283,Latham,45646,Pike,39.0804,
WA,-122.3643,Seattle,98119,King,47.6379,
PA,-76.0857,Wapwallopen,18660,Luzerne,41.068,
OH,-82.0331,Pomeroy,45769,Meigs,39.0607,
AR,-90.5251,Paragould,72450,Greene,36.06,
NY,-78.1704,Elba,14058,Genesee,43.0897,
PA,-79.76,Cabot,16023,Butler,40.7924,
TN,-89.6962,Henning,38041,Lauderdale,35.6593,
MS,-90.604,Isola,38754,Humphreys,33.2471,
NY,-73.5544,Wassaic,12592,Dutchess,41.7759,
OK,-95.2022,Swink,74761,Choctaw,34.0179,
FL,-81.3629,Lake Placid,33862,Highlands,27.2931,
MN,-94.6039,Eden Valley,55329,Meeker,45.302,
NC,-81.7652,Vilas,28692,Watauga,36.2574,
MN,-96.7695,Moorhead,56563,Clay,46.8739,
CA,-122.1927,Artois,95913,Glenn,39.6197,
IL,-89.606,Springfield,62794,Sangamon,39.7495,
ME,-70.7924,Denmark,4022,Oxford,43.9755,
AR,-92.4246,Ivan,71748,Dallas,33.9118,
TX,-100.4022,Goodfellow Afb,76908,Tom Green,31.4321,
OK,-97.4654,Edmond,73083,Oklahoma,35.6665,
AZ,-112.3413,Sun City West,85376,Maricopa,33.662,
MS,-90.9923,Rosedale,38769,Bolivar,33.8432,
LA,-93.2716,New Llano,71461,Vernon,31.1149,
FL,-82.4625,Land O Lakes,34637,Pasco,28.2782,
CO,-106.8081,Toponas,80479,Routt,40.0603,
CO,-105.0376,Denver,80236,Denver,39.6535,
IA,-95.3445,Hancock,51536,Pottawattamie,41.3832,
NM,-103.6325,Melrose,88124,Curry,34.4479,
TN,-84.5381,Helenwood,37755,Scott,36.4329,
TN,-84.1386,Lake City,37769,Anderson,36.2032,
OK,-97.2867,Blackwell,74631,Kay,36.8006,
IL,-89.0235,Rockford,61108,Winnebago,42.2514,
WV,-82.5541,Fort Gay,25514,Wayne,38.1335,
IA,-95.07,Elk Horn,51531,Shelby,41.5829,
AL,-86.6129,Laceys Spring,35754,Morgan,34.4996,
MN,-94.4895,Pillager,56473,Cass,46.3607,
WV,-82.4339,Wayne,25570,Wayne,38.2258,
GA,-83.8795,Dacula,30019,Gwinnett,33.9883,
MS,-90.4051,Hazlehurst,39083,Copiah,31.8562,
LA,-93.017,Sugartown,70662,Beauregard,30.8277,
AR,-94.1655,Johnson,72741,Washington,36.1329,
NY,-73.6018,Port Washington,11055,Nassau,40.7548,
VA,-76.3542,Burgess,22432,Northumberland,37.8687,
IN,-85.3862,Muncie,47305,Delaware,40.1933,
IA,-95.9353,Matlock,51244,Sioux,43.2439,
IN,-86.2302,Helmsburg,47435,Brown,39.1963,
MD,-76.521,Callaway,20620,St. Mary's,38.2275,
IN,-86.3701,Brooklyn,46111,Morgan,39.5396,
LA,-92.7392,Otis,71466,Rapides,31.2077,
VA,-77.4083,Stafford,22555,Stafford,38.4221,
KY,-85.1019,Turners Station,40075,Henry,38.5521,
IA,-93.301,Swan,50252,Marion,41.4636,
WY,-110.9492,Alta,83414,Teton,43.8886,
IL,-87.6901,Evanston,60204,Cook,42.0411,
NY,-78.7432,East Otto,14729,Cattaraugus,42.3971,
CA,-122.9042,Forestville,95436,Sonoma,38.4923,
KY,-84.4787,Bellevue,41073,Campbell,39.1024,
OH,-83.6995,Decatur,45115,Brown,38.8237,
MI,-84.5148,Kinross,49752,Chippewa,46.275,
MN,-93.4824,Emmons,56029,Freeborn,43.5089,
GA,-84.4741,Atlanta,30368,Fulton,33.8444,
AL,-88.1311,Chunchula,36521,Mobile,30.9912,
WI,-89.5632,Oxford,53952,Marquette,43.7799,
TN,-83.9809,Alcoa,37701,Blount,35.7852,
