County,"Zip
Code",Lat,"Place
Name",State,Long
Suffolk,501,40.8154,Holtsville,NY,-73.0451
Suffolk,544,40.8154,Holtsville,NY,-73.0451
Hampden,1001,42.0702,Agawam,MA,-72.6227
Hampshire,1002,42.3671,Amherst,MA,-72.4646
Hampshire,1003,42.3919,Amherst,MA,-72.5248
Hampshire,1004,42.3845,Amherst,MA,-72.5132
Worcester,1005,42.4097,Barre,MA,-72.1084
Hampshire,1007,42.2751,Belchertown,MA,-72.411
Hampden,1008,42.1829,Blandford,MA,-72.9361
Hampden,1009,42.2061,Bondsville,MA,-72.3405
Hampden,1010,42.1165,Brimfield,MA,-72.1885
Hampden,1011,42.2794,Chester,MA,-72.9888
Hampshire,1012,42.3923,Chesterfield,MA,-72.8256
Hampden,1013,42.1487,Chicopee,MA,-72.6079
Hampden,1014,42.1707,Chicopee,MA,-72.6048
Hampden,1020,42.1764,Chicopee,MA,-72.5761
Hampden,1021,42.1707,Chicopee,MA,-72.6048
Hampden,1022,42.1934,Chicopee,MA,-72.5544
Hampshire,1026,42.4633,Cummington,MA,-72.9202
Hampshire,1027,42.2668,Easthampton,MA,-72.669
Hampden,1028,42.0672,East Longmeadow,MA,-72.5056
Berkshire,1029,42.1909,East Otis,MA,-73.0517
Hampden,1030,42.0718,Feeding Hills,MA,-72.6751
Worcester,1031,42.3322,Gilbertville,MA,-72.1986
Hampshire,1032,42.4404,Goshen,MA,-72.7995
Hampshire,1033,42.2557,Granby,MA,-72.52
Hampden,1034,42.1127,Granville,MA,-72.952
Hampshire,1035,42.3606,Hadley,MA,-72.5715
Hampden,1036,42.0648,Hampden,MA,-72.4318
Worcester,1037,42.3479,Hardwick,MA,-72.2253
Hampshire,1038,42.3844,Hatfield,MA,-72.6167
Hampshire,1039,42.3818,Haydenville,MA,-72.7032
Hampden,1040,42.202,Holyoke,MA,-72.6262
Hampden,1041,42.2043,Holyoke,MA,-72.6162
Hampshire,1050,42.2653,Huntington,MA,-72.8733
Hampshire,1053,42.3543,Leeds,MA,-72.7034
Franklin,1054,42.4682,Leverett,MA,-72.4993
Hampden,1056,42.1728,Ludlow,MA,-72.471
Hampden,1057,42.101,Monson,MA,-72.3196
Hampshire,1059,42.4104,North Amherst,MA,-72.5309
Hampshire,1060,42.3223,Northampton,MA,-72.6313
Hampshire,1061,42.3696,Northampton,MA,-72.636
Hampshire,1062,42.3219,Florence,MA,-72.6928
Hampshire,1063,42.3179,Northampton,MA,-72.6402
Hampshire,1066,42.4067,North Hatfield,MA,-72.6339
Worcester,1068,42.348,Oakham,MA,-72.0513
Hampden,1069,42.1762,Palmer,MA,-72.3288
Hampshire,1070,42.5144,Plainfield,MA,-72.9183
Hampden,1071,42.1471,Russell,MA,-72.8403
Franklin,1072,42.482,Shutesbury,MA,-72.4213
Hampshire,1073,42.2247,Southampton,MA,-72.7194
Worcester,1074,42.3854,South Barre,MA,-72.0954
Hampshire,1075,42.2375,South Hadley,MA,-72.5811
Hampden,1077,42.0511,Southwick,MA,-72.7706
Hampden,1079,42.1929,Thorndike,MA,-72.3296
Hampden,1080,42.1819,Three Rivers,MA,-72.3624
Hampden,1081,42.0627,Wales,MA,-72.2046
Hampshire,1082,42.2618,Ware,MA,-72.2583
Worcester,1083,42.204,Warren,MA,-72.1994
Hampshire,1084,42.3903,West Chesterfield,MA,-72.8709
Hampden,1085,42.1251,Westfield,MA,-72.7495
Hampden,1086,42.1734,Westfield,MA,-72.848
Hampshire,1088,42.3906,West Hatfield,MA,-72.6469
Hampden,1089,42.1151,West Springfield,MA,-72.6411
Hampden,1090,42.1707,West Springfield,MA,-72.6048
Worcester,1092,42.2029,West Warren,MA,-72.229
Franklin,1093,42.4427,Whately,MA,-72.6525
Worcester,1094,42.3582,Wheelwright,MA,-72.1408
Hampden,1095,42.1245,Wilbraham,MA,-72.4464
Hampshire,1096,42.4085,Williamsburg,MA,-72.778
Hampden,1097,42.164,Woronoco,MA,-72.8295
Hampshire,1098,42.3843,Worthington,MA,-72.9314
Hampden,1101,42.1015,Springfield,MA,-72.5898
Hampden,1102,42.1707,Springfield,MA,-72.6048
Hampden,1103,42.1029,Springfield,MA,-72.5887
Hampden,1104,42.1288,Springfield,MA,-72.5778
Hampden,1105,42.0999,Springfield,MA,-72.5783
Hampden,1106,42.0507,Longmeadow,MA,-72.5676
Hampden,1107,42.1179,Springfield,MA,-72.6065
Hampden,1108,42.0853,Springfield,MA,-72.5584
Hampden,1109,42.1145,Springfield,MA,-72.5543
Hampden,1111,42.1707,Springfield,MA,-72.6048
Hampden,1115,42.1029,Springfield,MA,-72.5916
Hampden,1116,42.1707,Longmeadow,MA,-72.6048
Hampden,1118,42.0929,Springfield,MA,-72.5274
Hampden,1119,42.1247,Springfield,MA,-72.5121
Hampden,1128,42.0944,Springfield,MA,-72.4889
Hampden,1129,42.1223,Springfield,MA,-72.4876
Hampden,1138,42.1707,Springfield,MA,-72.6048
Hampden,1139,42.1707,Springfield,MA,-72.6048
Hampden,1144,42.1018,Springfield,MA,-72.5915
Hampden,1151,42.1532,Indian Orchard,MA,-72.505
Hampden,1152,42.1707,Springfield,MA,-72.6048
Hampden,1199,42.1199,Springfield,MA,-72.605
Berkshire,1201,42.4531,Pittsfield,MA,-73.2471
Berkshire,1202,42.3929,Pittsfield,MA,-73.2285
Berkshire,1203,42.3929,Pittsfield,MA,-73.2285
Berkshire,1220,42.6223,Adams,MA,-73.1172
Berkshire,1222,42.0596,Ashley Falls,MA,-73.3202
Berkshire,1223,42.3594,Becket,MA,-73.1203
Berkshire,1224,42.5126,Berkshire,MA,-73.1929
Berkshire,1225,42.5611,Cheshire,MA,-73.158
Berkshire,1226,42.475,Dalton,MA,-73.1603
Berkshire,1227,42.4737,Dalton,MA,-73.1662
Berkshire,1229,42.2793,Glendale,MA,-73.3435
Berkshire,1230,42.1959,Great Barrington,MA,-73.3607
Berkshire,1235,42.4298,Hinsdale,MA,-73.0724
Berkshire,1236,42.2653,Housatonic,MA,-73.3745
Berkshire,1237,42.5173,Lanesborough,MA,-73.2282
Berkshire,1238,42.299,Lee,MA,-73.2317
Berkshire,1240,42.3642,Lenox,MA,-73.2713
Berkshire,1242,42.3386,Lenox Dale,MA,-73.2509
Hampshire,1243,42.3561,Middlefield,MA,-73.0104
Berkshire,1244,42.1228,Mill River,MA,-73.254
Berkshire,1245,42.1867,Monterey,MA,-73.2065
Berkshire,1247,42.6955,North Adams,MA,-73.08
Berkshire,1252,42.1986,North Egremont,MA,-73.4462
Berkshire,1253,42.1931,Otis,MA,-73.0918
Berkshire,1254,42.3784,Richmond,MA,-73.3645
Berkshire,1255,42.1094,Sandisfield,MA,-73.1163
Berkshire,1256,42.577,Savoy,MA,-73.0233
Berkshire,1257,42.1001,Sheffield,MA,-73.3611
Berkshire,1258,42.1012,South Egremont,MA,-73.4566
Berkshire,1259,42.078,Southfield,MA,-73.2609
Berkshire,1260,42.2779,South Lee,MA,-73.2773
Berkshire,1262,42.301,Stockbridge,MA,-73.3223
Berkshire,1263,42.3929,Stockbridge,MA,-73.2285
Berkshire,1264,42.22,Tyringham,MA,-73.1979
Berkshire,1266,42.3348,West Stockbridge,MA,-73.3825
Berkshire,1267,42.7089,Williamstown,MA,-73.2036
Berkshire,1270,42.515,Windsor,MA,-73.0412
Franklin,1301,42.6013,Greenfield,MA,-72.6236
Franklin,1302,42.5222,Greenfield,MA,-72.6242
Franklin,1330,42.5232,Ashfield,MA,-72.811
Worcester,1331,42.5959,Athol,MA,-72.2267
Franklin,1337,42.6952,Bernardston,MA,-72.5772
Franklin,1338,42.5736,Buckland,MA,-72.8213
Franklin,1339,42.608,Charlemont,MA,-72.8901
Franklin,1340,42.679,Colrain,MA,-72.7265
Franklin,1341,42.5138,Conway,MA,-72.7025
Franklin,1342,42.5406,Deerfield,MA,-72.6072
Berkshire,1343,42.6427,Drury,MA,-72.9862
Franklin,1344,42.6076,Erving,MA,-72.4292
Franklin,1346,42.6853,Heath,MA,-72.8391
Franklin,1347,42.5566,Lake Pleasant,MA,-72.5181
Franklin,1349,42.582,Millers Falls,MA,-72.4926
Franklin,1350,42.7215,Monroe Bridge,MA,-72.9762
Franklin,1351,42.5429,Montague,MA,-72.5328
Franklin,1354,42.6404,Gill,MA,-72.4995
Franklin,1355,42.5146,New Salem,MA,-72.3062
Franklin,1360,42.6887,Northfield,MA,-72.451
Franklin,1364,42.6129,Orange,MA,-72.2924
Worcester,1366,42.4898,Petersham,MA,-72.1893
Franklin,1367,42.6953,Rowe,MA,-72.9258
Worcester,1368,42.6722,Royalston,MA,-72.1964
Franklin,1370,42.6022,Shelburne Falls,MA,-72.7391
Franklin,1373,42.4756,South Deerfield,MA,-72.6153
